amr2
"# ::id 0
# ::annotator indoamrbart-mbart-fted
# ::snt ""Mengacu padanya hanya sebagai """"saksi"""", Amrozi menuduh saudaranya dengan sengaja mendistorsi buktinya.""
(z0 / menu
(z0 / keprihatinan-01
    :ARG0 (z1 / mereka)
    :ARG1 (z2 / saran-01
              :ARG0 (z3 / pengadilan)
              :ARG1 (z4 / mempertimbangkan-01
                        :ARG0 z3
                        :ARG1 (z5 / hal
                                  :ARG1 (z6 / hukum
                                            :poss (z7 / pengadilan
                                                      :mod (z8 / dunia
                                                               :mod (z9 / lain))))))
              :ARG1 (z10 / seperti-01
                         :ARG0 (z11 / organisasi
                                    :wiki ""EuropeanUnion""
                                    :name (z12 / nama
                                               :op1 ""European""
                                               :op2 ""Union""))
                         :ARG1 (z13 / organisasi
                                    :wiki ""EuropeanUnion""
                                    :name (z14 / nama
                                               :op1 ""European""
                                               :op2 ""Union"")))))"
"# ::id 523
# ::annotator indoamrbart-mbart-fted
# ::snt Ini juga merupakan kemenangan strategis untuk Overture, mengingat bahwa Knight Ridder telah menggunakan layanan iklan Google.
(z0 / meraih-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Overture""))
    :ARG1 (z3 / strategi)
    :mod (z4 / juga)
    :ARG1-of (z5 / menimbulkan-01
                 :ARG0 (z6 / menggunakan-01
                           :ARG0 (z7 / orang
                                     :wiki -
                                     :name (z8 / nama
                                               :op1 ""Knight""
                                               :op2 ""Ridder""))
                           :ARG1 (z9 / layanan
                                     :mod (z10 / iklan-01
                                               :ARG0 (z11 / perusahaan
                                                          :wiki ""Google""
                                                          :name (z12 / nama
                                                                     :op1 ""Google"")))))))"
"# ::id 524
# ::annotator indoamrbart-mbart-fted
# ::snt Keuskupan Agung Katolik Roma Amerika di Boston telah menawarkan $ 55 juta untuk menyelesaikan lebih dari 500 tuntutan hukum pelecehan seksual yang melibatkan para imam.
(z0 / menawarkan-01
    :ARG0 (z1 / organisasi
              :wiki -
              :name (z2 / nama
                        :op1 ""Catholic""
                        :op2 ""American""
                        :op3 ""Catholic""
                        :op4 ""Agung"")
              :location (z3 / kota
                            :wiki ""Boston""
                            :name (z4 / nama
                                      :op1 ""Boston"")))
    :ARG1 (z5 / entitas-laju-91
              :ARG1 (z6 / kuantitas-moneter
                        :unit (z7 / dolar))
              :ARG2 (z8 / selesai-01
                        :ARG0 z1
                        :ARG1 (z9 / menuntut-01
                                  :quant (z10 / lebih-dari
                                              :op1 500)
                                  :ARG1 (z11 / hukum
                                             :topic (z12 / pelecehan-01
                                                         :mod (z13 / seksual)))
                                  :ARG1 (z14 / melibatkan-01
                                             :ARG1 (z15 / orang
                                                        :ARG0-of (z16 / memiliki-peran-org-91
                                                                      :ARG2 (z17 / imam))))))))"
"# ::id 525
# ::annotator indoamrbart-mbart-fted
# ::snt Deposit dan pertumbuhan pinjaman, hasil investasi yang kuat dan hasil perdagangan dan pertumbuhan yang kuat dalam pendapatan hipotek dan kartu mendorong hasil kuartal ini.
(z0 / dan
    :op1 (z1 / bertambah-01
             :ARG1 (z2 / pinjaman))
    :op2 (z3 / dan
             :op1 (z4 / kuat-01
                      :ARG1 (z5 / hasil
                                :mod (z6 / investasi)))
             :op2 (z7 / bertambah-01
                      :ARG1-of (z8 / kuat-01)
                      :location (z9 / pendapatan
                                    :mod (z10 / hipotek)))
             :op3 (z11 / bertambah-01
                       :ARG1 (z12 / perdagangan)))
    :op3 (z13 / dorongan-01
              :ARG0 (z14 / kartu)
              :ARG1 (z15 / hasil
                         :mod (z16 / hipotek))))"
"# ::id 526
# ::annotator indoamrbart-mbart-fted
# ::snt Pembuat peralatan telekomunikasi Lucent Technologies Inc. (NYSE: QCOM - Berita - Orang) mengumpulkan 43 sen, atau 12,3 persen, menjadi $ 3,95.
(z0 / atau
    :op1 (z1 / sumbang-01
             :ARG0 (z2 / perusahaan
                       :wiki -
                       :name (z3 / nama
                                 :op1 ""QCOM""
                                 :op2 ""Berita""
                                 :op3 ""-""
                                 :op4 ""Orang""))
             :ARG1 (z4 / kuantitas-moneter
                       :unit (z5 / sen)))
    :op2 (z6 / sumbang-01
             :ARG1 (z7 / kuantitas-moneter
                       :unit (z8 / dolar))
             :ARG2 (z9 / entitas-laju-91
                       :ARG1 (z10 / entitas-laju-91
                                  :ARG2 (z11 / entitas-laju-91
                                             :ARG1 (z12 / entitas-laju-91
                                                        :ARG2 (z13 / persen)))))
             :ARG0 (z15 / perusahaan
                        :wiki -
                        :name (z16 / nama
                                   :op1 ""Lucent""
                                   :op2 ""Technologies""
                                   :op3 ""Inc.""))
             :ARG1 (z17 / peralatan
                        :mod (z18 / telekomunikasi))))"
"# ::id 527
# ::annotator indoamrbart-mbart-fted
# ::snt ""Mereka tidak disediakan atau diberikan kepada kami, tetapi digali oleh reporter kami """"dalam kementerian luar negeri Irak, katanya.""
(z0 / ujar-01
    :ARG0 (z1 / dia)
    :ARG1 (z2 / gali-01
              :ARG0 (z3 / orang
                        :ARG0-of (z4 / memiliki-peran-org-91
                                     :ARG2 (z5 / reporter))
                        :location (z6 / kementerian
                                      :mod (z7 / luar-negeri)
                                      :poss (z8 / negara
                                                :wiki ""Iraq""
                                                :name (z9 / nama
                                                          :op1 ""Iraq""))))
              :ARG1 (z10 / mereka)))"
"# ::id 528
# ::annotator indoamrbart-mbart-fted
# ::snt Kongres dua kali mengeluarkan tagihan serupa, tetapi Presiden Clinton saat itu memveto mereka dua kali.
(z0 / dan
    :op1 (z1 / mengeluarkan-01
             :ARG0 (z2 / orang
                       :wiki -
                       :name (z3 / nama
                                 :op1 ""Presiden""
                                 :op2 ""Clinton""))
             :ARG1 (z4 / bill
                       :mod (z5 / serupa))
             :frequency (z6 / kali))
    :op2 (z7 / peto-01
             :ARG0 (z8 / orang
                       :wiki -
                       :name (z9 / nama
                                 :op1 ""Kongres""))
             :ARG1 (z10 / mereka)
             :ord (z11 / entitas-ordinal)
             :time (z12 / saat
                        :mod (z13 / itu))))"
"# ::id 529
# ::annotator indoamrbart-mbart-fted
# ::snt Putranya akan marah, kata ibunya, tetapi kemudian berbalik dan berteman dengan ejekannya.
(z0 / kontras-01
    :ARG1 (z1 / marah-01
              :ARG0 (z2 / dia)
              :ARG1 (z3 / dia)
              :ARG1 (z4 / kata-01
                        :ARG0 (z5 / orang
                                  :ARG0-of (z6 / memiliki-peran-rel-91
                                               :ARG2 (z7 / ibu)))))
    :ARG2 (z8 / dan
              :op1 (z9 / balik-01
                       :ARG0 z2)
              :op2 (z10 / berteman-01
                        :ARG0 z2
                        :ARG1 (z11 / ejekannya))
              :time (z12 / lalu)))"
"# ::id 530
# ::annotator indoamrbart-mbart-fted
# ::snt Avants, mengenakan jumpsuit coklat muda, memiliki tabung di hidungnya dan tangki oksigen portabel di sampingnya.
(z0 / dan
    :op1 (z1 / pakai-01
             :ARG0 (z2 / orang
                       :ARG0-of (z3 / memiliki-peran-rel-91
                                    :ARG2 (z4 / ants)))
             :ARG1 (z5 / jumpsuit
                       :mod (z6 / muda)))
    :op2 (z7 / memiliki-01
             :ARG0 z2
             :ARG1 (z8 / dan
                       :op1 (z9 / tabung
                                :location (z10 / hidung
                                               :part (z11 / dia)))
                       :op2 (z12 / tangki
                                 :mod (z13 / oksigen
                                           :mod (z14 / portabel))
                                 :location (z15 / samping
                                                :poss z11)))))"
"# ::id 531
# ::annotator indoamrbart-mbart-fted
# ::snt Pengacara McKnight mengatakan dia tidak berniat menyakiti anak itu.
(z0 / katakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Pengacara""
                        :op2 ""McKnight""))
    :ARG1 (z3 / niat-01
              :ARG0 z1
              :ARG1 (z4 / sakit-01
                        :ARG0 z1
                        :ARG1 (z5 / anak
                                  :mod (z6 / itu)))))"
"# ::id 532
# ::annotator indoamrbart-mbart-fted
# ::snt Jumlah orang Amerika yang dianggap sangat gemuk, atau setidaknya 100 pound kelebihan berat badan, telah empat kali lipat sejak 1980 -an menjadi 4 juta yang mengejutkan, penelitian menunjukkan.
(z0 / lipat-01
    :ARG1 (z1 / nomor
              :poss (z2 / orang
                        :mod (z3 / negara
                                 :wiki ""UnitedStates""
                                 :name (z4 / nama
                                           :op1 ""America""))
                        :ARG1-of (z5 / anggap-01
                                     :ARG2 (z6 / gemuk
                                               :degree (z7 / sangat)))))
    :ARG3 (z8 / entitas-laju-91
              :ARG4 (z9 / entitas-tanggal))
    :ARG4 (z10 / entitas-laju-91
               :ARG4 (z11 / entitas-laju-91
                          :ARG4 (z12 / entitas-tanggal)))
    :ARG1-of (z13 / kejutan-01)
    :ARG1-of (z14 / menunjukkan-01
                  :ARG0 (z15 / penelitian)))"
"# ::id 533
# ::annotator indoamrbart-mbart-fted
# ::snt Sebuah suar verbal antara Keating dan Mahony dimulai ketika Kardinal awalnya menolak untuk berpartisipasi dalam survei itu kecuali prosedur diubah.
(z0 / mulai-01
    :ARG0 (z1 / suar
              :mod (z2 / verbal)
              :poss (z3 / dan
                        :op1 (z4 / orang
                                 :wiki -
                                 :name (z5 / nama
                                           :op1 ""Keating""))
                        :op2 (z6 / orang
                                 :wiki -
                                 :name (z7 / nama
                                           :op1 ""Mahony""))))
    :time (z8 / menolak-01
              :ARG0 (z9 / orang
                        :wiki -
                        :name (z10 / nama
                                   :op1 ""Kardinal""))
              :ARG1 (z11 / ikut-01
                         :ARG0 z9
                         :ARG1-of (z12 / kecuali-01
                                       :ARG1-of (z13 / berubah-01
                                                     :ARG1 (z14 / prosedur))))
              :time (z15 / awalnya)))"
"# ::id 534
# ::annotator indoamrbart-mbart-fted
# ::snt Seorang hakim Alaska telah menolak upaya kelompok hak-hak hewan untuk menghentikan program yang disponsori negara yang memungkinkan para pemburu untuk menembak serigala dari pesawat terbang di Alaska.
(z0 / bubar-01
    :ARG0 (z1 / orang
              :ARG0 (z2 / hakim
                        :mod (z3 / negara
                                 :wiki ""Alaska""
                                 :name (z4 / nama
                                           :op1 ""Alaska""))))
    :ARG1 (z5 / usaha-01
              :ARG0 (z6 / grup
                        :mod (z7 / hak
                                 :mod (z8 / hewan)))
              :ARG1 (z9 / berhenti-01
                        :ARG0 z1
                        :ARG1 (z10 / program
                                   :ARG1 (z11 / disponsori
                                              :mod (z12 / negara))
                                   :ARG0-of (z13 / izin-01
                                                 :ARG1 (z14 / tembak-01
                                                            :ARG0 (z15 / orang
                                                                       :ARG0-of (z16 / buru-01))
                                                            :ARG1 (z17 / serigala)
                                                            :source (z18 / pesawat
                                                                         :mod (z19 / terbang))
                                                            :location (z20 / negara
                                                                           :wiki ""Alaska""
                                                                           :name (z21 / nama
                                                                                      :op1 ""Alaska""))))))))"
"# ::id 535
# ::annotator indoamrbart-mbart-fted
# ::snt Badan federal telah menyelidiki apakah beberapa perusahaan energi memanipulasi pasar energi dengan melaporkan harga perdagangan gas alam palsu ke publikasi industri.
(z0 / lidiki-01
    :ARG0 (z1 / perusahaan
              :mod (z2 / energi)
              :quant (z3 / beberapa))
    :ARG1 (z4 / memanipulasi-01
              :ARG0 z1
              :ARG1 (z5 / pasar
                        :mod (z6 / energi))
              :manner (z7 / melaporkan-01
                          :ARG0 z1
                          :ARG1-of (z8 / palsu-01
                                       :ARG1 (z9 / harga
                                                 :mod (z10 / perdagangan
                                                           :mod (z11 / gas
                                                                     :mod (z12 / alam)))))
                          :destination (z13 / publikasi
                                            :mod (z14 / industri)))))"
"# ::id 536
# ::annotator indoamrbart-mbart-fted
# ::snt ""Dia melanjutkan: """"Salah satu bagian dari itu seharusnya bersumber untuk pekerjaan referensi.""
(z0 / lanjut-01
    :ARG0 (z1 / dia)
    :ARG1 (z2 / kira-01
              :ARG1 (z3 / source-01
                        :ARG0 (z4 / pekerjaan
                                  :mod (z5 / referensi))
                        :ARG1 (z6 / bagian
                                  :part-of (z7 / itu)))))"
"# ::id 537
# ::annotator indoamrbart-mbart-fted
# ::snt Perintah itu segera tetap menunggu banding ke Pengadilan Banding Sirkuit Federal di Washington.
(z0 / menunggu-01
    :ARG1 (z1 / orang
              :ARG0 (z2 / perintah
                        :mod (z3 / itu)))
    :ARG2 (z4 / banding-01
              :ARG0 (z5 / pengadilan
                        :wiki -
                        :name (z6 / nama
                                  :op1 ""Federal""
                                  :op2 ""Bureau""
                                  :op3 ""of""
                                  :op4 ""Banding"")
                        :location (z7 / kota
                                      :wiki ""Washington,D.C.""
                                      :name (z8 / nama
                                                :op1 ""Washington""))))
    :time (z9 / segera))"
"# ::id 538
# ::annotator indoamrbart-mbart-fted
# ::snt ""Dia dibawa ke Rumah Sakit Hammersmith, di mana dokter mengatur detak jantung Blair melalui sengatan listrik dalam prosedur yang disebut """"Cardio-Version"""".""
(z0 / bawa-01
    :ARG0 (z1 / dokter)
    :ARG1 (z2 / dia)
    :destination (z3 / rumah
                     :wiki ""HammersmithHospital""
                     :name (z4 / nama
                               :op1 ""Hammersmith""
                               :op2 ""Hospital""))
    :location-of (z5 / mengatur-01
                     :ARG0 (z6 / orang
                               :ARG0-of (z7 / memiliki-peran-org-91
                                            :ARG2 (z8 / dokter)))
                     :ARG1 (z9 / detak
                               :mod (z10 / jantung)
                               :poss (z11 / orang
                                          :wiki ""TonyBlair""
                                          :name (z12 / nama
                                                     :op1 ""Blair"")))
                     :instrument (z13 / sengatan
                                      :mod (z14 / listrik))
                     :location (z15 / prosedur
                                    :ARG1-of (z16 / panggilan-01
                                                  :ARG2 (z17 / garis
                                                             :mod (z18 / version))))))"
"# ::id 539
# ::annotator indoamrbart-mbart-fted
# ::snt Dokter yang melakukan prosedur akan menghadapi dua tahun penjara, di bawah RUU itu.
(z0 / menghadapi-01
    :ARG0 (z1 / orang
              :ARG0-of (z2 / memiliki-peran-org-91
                           :ARG2 (z3 / dokter)))
    :ARG1 (z4 / orang
              :ARG0-of (z5 / melakukan-01
                           :ARG1 (z6 / prosedur)))
    :ARG2 (z7 / penjara)
    :time (z8 / di-bawah
              :op1 (z9 / hukum
                       :wiki ""PatientProtectionandAffordableCareAct""
                       :name (z10 / nama
                                  :op1 ""RUU""))))"
"# ::id 540
# ::annotator indoamrbart-mbart-fted
# ::snt Chirac, yang memiliki wewenang untuk memaafkan pelanggaran hukum, menolak permintaan Humbert untuk diizinkan mati tahun lalu tetapi tetap berhubungan erat dengan keluarga.
(z0 / dan
    :op1 (z1 / menolak-01
             :ARG0 (z2 / orang
                       :wiki -
                       :name (z3 / nama
                                 :op1 ""Chiracrac"")
                       :ARG0-of (z4 / memiliki-01
                                    :ARG1 (z5 / wewenang
                                              :purpose (z6 / maafkan-01
                                                           :ARG0 z2
                                                           :ARG1 (z7 / pelanggaran
                                                                     :mod (z8 / hukum))))))
             :ARG1 (z9 / permintaan-01
                       :ARG0 (z10 / orang
                                  :wiki -
                                  :name (z11 / nama
                                             :op1 ""Humbert""))
                       :ARG1 (z12 / tewas-01
                                  :ARG1 (z13 / orang
                                             :wiki -
                                             :name (z14 / nama
                                                        :op1 ""Chiracrac"")))
                       :time (z15 / sebelum
                                  :op1 (z16 / sekarang)
                                  :quant (z17 / kuantitas-sementara
                                              :unit (z18 / tahun)))))
    :op2 (z19 / tahan-01
              :ARG0 z10
              :ARG1 (z20 / berhubungan-01
                         :ARG0 z10
                         :ARG1 (z21 / keluarga)
                         :manner (z22 / erat))))"
"# ::id 541
# ::annotator indoamrbart-mbart-fted
# ::snt Dotson dibawa ke rumah sakit daerah untuk evaluasi psikiatris.
(z0 / bawa-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Dotson""))
    :ARG1 (z3 / orang
              :wiki -
              :name (z4 / nama
                        :op1 ""daerah""))
    :destination (z5 / evaluasi
                     :mod (z6 / psikiatris)))"
"# ::id 542
# ::annotator indoamrbart-mbart-fted
# ::snt Setiap anak laki-laki memiliki berat kurang dari 50 pound ketika mereka dikeluarkan dari rumah 10 Oktober.
(z0 / ada-02
    :ARG0 (z1 / boy)
    :ARG1 (z2 / berat
              :mod (z3 / kurang-dari
                       :op1 (z4 / entitas-laju-91
                                :ARG1 (z5 / kuantitas-massa
                                          :unit (z6 / pound)))))
    :time (z7 / keluar-01
              :ARG0 z1
              :ARG1 (z8 / rumah)
              :time (z9 / entitas-tanggal)))"
"# ::id 543
# ::annotator indoamrbart-mbart-fted
# ::snt Pemerintah sekarang menuduh bahwa Sattar berkonspirasi dengan Rahman untuk membunuh dan menculik orang-orang di luar negeri.
(z0 / menuduh-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Sattar""))
    :ARG1 (z3 / orang
              :wiki -
              :name (z4 / nama
                        :op1 ""Rahman""))
    :ARG2 (z5 / berkonspirasi-01
              :ARG0 (z6 / orang
                        :wiki -
                        :name (z7 / nama
                                  :op1 ""Rahman""))
              :ARG1 (z8 / dan
                        :op1 (z9 / tewas-01
                                 :ARG0 z1
                                 :ARG1 (z10 / orang
                                            :location (z11 / luar-negeri)))
                        :op2 (z12 / culik-01
                                  :ARG0 z1
                                  :ARG1 (z13 / orang))))
    :time (z14 / sekarang))"
"# ::id 544
# ::annotator indoamrbart-mbart-fted
# ::snt Perusahaan kedua, yang akan disebut Prisma Energy International Inc., mencakup 19 kekuatan internasional dan kepemilikan pipa.
(z0 / termasuk-01
    :ARG0 (z1 / perusahaan
              :wiki -
              :name (z2 / nama
                        :op1 ""Prisma""
                        :op2 ""Energy""
                        :op3 ""International""
                        :op4 ""Inc.""))
    :ARG1 (z3 / dan
              :op1 (z4 / kekuatan
                       :mod (z5 / internasional))
              :op2 (z6 / sendiri-01
                       :ARG0 z1
                       :ARG1 (z7 / pipa)))
    :ARG2 (z8 / perusahaan
              :wiki -
              :name (z9 / nama
                        :op1 ""Perusahaan""
                        :op2 ""Prisma""
                        :op3 ""Energy""
                        :op4 ""International""
                        :op5 ""Inc.""))
    :ord (z10 / entitas-ordinal))"
"# ::id 545
# ::annotator indoamrbart-mbart-fted
# ::snt Dia dihukum karena ketidakhadirannya pada bulan Januari dan dijatuhi hukuman 124 tahun.
(z0 / dan
    :op1 (z1 / kalimat-01
             :ARG1 (z2 / dia)
             :ARG2-of (z3 / menimbulkan-01
                          :ARG0 (z4 / tidak-hadir-01
                                    :ARG0 z2
                                    :time (z5 / entitas-tanggal))))
    :op2 (z6 / kalimat-01
             :ARG1 (z7 / dia)
             :ARG2 (z8 / kuantitas-sementara
                       :unit (z9 / tahun))))"
"# ::id 546
# ::annotator indoamrbart-mbart-fted
# ::snt Laporan asli telah menyimpulkan bahwa '' perubahan iklim memiliki konsekuensi global bagi kesehatan manusia dan lingkungan, '' menurut memo EPA internal.
(z0 / ujar-01
    :ARG0 (z1 / memo
              :mod (z2 / internal)
              :poss (z3 / organisasi
                        :wiki ""EPA""
                        :name (z4 / nama
                                  :op1 ""EPA"")))
    :ARG1 (z5 / menyimpulkan-01
              :ARG0 (z6 / asli)
              :ARG1 (z7 / konsekuensinya-03
                        :ARG0 (z8 / berubah-01
                                  :ARG1 (z9 / iklim))
                        :ARG2 (z10 / dan
                                   :op1 (z11 / sehat
                                             :mod (z12 / manusia))
                                   :op2 (z13 / lingkungan))
                        :mod (z14 / globe))))"
"# ::id 547
# ::annotator indoamrbart-mbart-fted
# ::snt Cadangan sipil juga dapat dikirim ke luar negeri untuk pekerjaan seperti rekonstruksi di Afghanistan dan Irak, bekerja di posisi dari penerjemah ke pengemudi truk.
(z0 / dan
    :op1 (z1 / kirim-01
             :ARG0 (z2 / orang
                       :ARG0-of (z3 / memiliki-peran-org-91
                                    :ARG2 (z4 / warga-sipil)))
             :destination (z5 / luar-negeri)
             :purpose (z6 / pekerjaan
                          :example (z7 / rekonstruksi
                                       :location (z8 / dan
                                                     :op1 (z9 / negara
                                                              :wiki ""Afghanistan""
                                                              :name (z10 / nama
                                                                         :op1 ""Afghanistan""))
                                                     :op2 (z11 / negara
                                                               :wiki ""Iraq""
                                                               :name (z12 / nama
                                                                          :op1 ""Iraq""))))))
    :op2 (z13 / bekerja-01
              :ARG0 (z14 / orang
                         :ARG0-of (z15 / memiliki-peran-org-91
                                       :ARG2 (z16 / penerjemah)))
              :location (z17 / posisi
                             :poss (z18 / orang
                                        :ARG0-of (z19 / memiliki-peran-org-91
                                                      :ARG2 (z20 / pengemudi
                                                                 :mod (z21 / truk)))))))"
"# ::id 548
# ::annotator indoamrbart-mbart-fted
# ::snt Ini memiliki margin kesalahan plus atau minus tiga hingga empat poin persentase.
(z0 / atau
    :op1 (z1 / entitas-laju-91
             :ARG1 (z2 / entitas-persentase)
             :ARG2 (z3 / entitas-persentase))
    :op2 (z4 / entitas-laju-91
             :ARG1 (z5 / entitas-persentase)
             :ARG2 (z6 / entitas-persentase)))"
"# ::id 549
# ::annotator indoamrbart-mbart-fted
# ::snt Westfield juga akan melanjutkan diskusi tentang pusat-pusat yang dimiliki bersama lainnya, seperti Knox City di Melbourne, di mana Deutsche Bank memiliki 50 persen saham.
(z0 / lanjut-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Westfield""))
    :ARG1 (z3 / diskusi-01
              :ARG0 z1
              :ARG1 (z4 / pusat
                        :mod (z5 / itu)
                        :ARG1-of (z6 / sendiri-01
                                     :ARG0 (z7 / bersama
                                               :mod (z8 / lain)))))
    :location (z9 / kota
                  :wiki ""KnoxCity,Melbourne""
                  :name (z10 / nama
                             :op1 ""Knox""
                             :op2 ""City"")
                  :location (z11 / kota
                                 :wiki ""Melbourne""
                                 :name (z12 / nama
                                            :op1 ""Melbourne""))
                  :location-of (z13 / ada-01
                                    :ARG0 (z14 / bank
                                               :wiki ""DeutscheBank""
                                               :name (z15 / nama
                                                          :op1 ""Deutsche""
                                                          :op2 ""Bank""))
                                    :ARG1 (z16 / saham
                                               :mod (z17 / entitas-persentase)))))"
"# ::id 550
# ::annotator indoamrbart-mbart-fted
# ::snt ""Tahun lalu, Bloomberg menghina perselingkuhan setelah diberitahu bahwa dia tidak bisa berbaris dengan anggota pemeran """"The Sopranos.""""""
(z0 / penghina-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Bloomberg""))
    :ARG1 (z3 / perselingkuhan)
    :time (z4 / setelah
              :op1 (z5 / katakan-01
                       :ARG0 z1
                       :ARG1 (z6 / mungkin-01
                                 :polarity -
                                 :ARG1 (z7 / berbaris-01
                                           :ARG0 (z8 / orang
                                                     :ARG0-of (z9 / memiliki-peran-org-91
                                                                  :ARG2 (z10 / pemeran))
                                                     :wiki -
                                                     :name (z12 / nama
                                                                :op1 ""The""
                                                                :op2 ""Sopranos""))
                                           :mod (z14 / pemeran)))))
    :time (z15 / tahun
               :mod (z16 / terakhir)))"
"# ::id 551
# ::annotator indoamrbart-mbart-fted
# ::snt Penyelidik federal mencari kemungkinan koneksi antara pencurian 1.100 pon bahan kimia peledak dari perusahaan konstruksi di Colorado dan California dalam seminggu terakhir.
(z0 / lihat-01
    :ARG0 (z1 / orang
              :ARG0 (z2 / lilidik
                        :mod (z3 / federal)))
    :ARG1 (z4 / mungkin-01
              :ARG1 (z5 / koneksi-01
                        :ARG0 (z6 / curi-01
                                  :ARG0 (z7 / perusahaan
                                            :ARG0-of (z8 / konstruksi-01)
                                            :location (z9 / dan
                                                          :op1 (z10 / kota
                                                                    :wiki ""Colorado,California""
                                                                    :name (z11 / nama
                                                                               :op1 ""Colorado""))
                                                          :op2 (z12 / negara
                                                                    :wiki ""California""
                                                                    :name (z13 / nama
                                                                               :op1 ""California""))))
                                  :ARG1 (z14 / bahan
                                             :mod (z15 / kimia
                                                       :mod (z16 / peledak))
                                             :quant (z17 / kuantitas-massa
                                                         :unit (z18 / pound))))
                        :time (z19 / minggu
                                   :mod (z20 / terakhir)))))"
"# ::id 552
# ::annotator indoamrbart-mbart-fted
# ::snt Penasihat keamanan nasional Clinton, Sandy Berger, mengatakan dalam sebuah wawancara bahwa Gedung Putih tidak diberitahu tentang kegiatan FBI.
(z0 / katakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Sandy""
                        :op2 ""Berger"")
              :ARG0-of (z3 / memiliki-peran-rel-91
                           :ARG1 (z4 / orang
                                     :wiki -
                                     :name (z5 / nama
                                               :op1 ""Clinton""))
                           :ARG2 (z6 / orang
                                     :ARG0-of (z7 / memiliki-peran-org-91
                                                  :ARG2 (z8 / keamanan
                                                            :mod (z9 / nasional))))))
    :ARG1 (z10 / katakan-01
               :polarity -
               :ARG0 (z11 / organisasi-pemerintah
                          :wiki ""FederalBureauofInvestigation""
                          :name (z12 / nama
                                     :op1 ""FBI""))
               :ARG1 (z13 / aktivitas-06
                          :ARG0 z11))
    :location (z14 / wawancara-01))"
"# ::id 553
# ::annotator indoamrbart-mbart-fted
# ::snt Penjualan seperti ritel seperti 17 minggu hingga 27 Desember adalah datar, dengan margin kotor turun dua poin persentase.
(z0 / datar-01
    :ARG1 (z1 / toko
              :mod (z2 / sepertinya))
    :time (z3 / interval-tanggal
              :op1 (z4 / entitas-tanggal)
              :op2 (z5 / entitas-tanggal))
    :manner (z6 / turun-01
                :ARG1 (z7 / margin
                          :mod (z8 / kotor))
                :ARG4 (z9 / entitas-persentase)))"
"# ::id 554
# ::annotator indoamrbart-mbart-fted
# ::snt Seorang jaksa penuntut mengatakan para penyelidik sedang mencari rumahnya di Muenster di hadapan istrinya ketika berita kematiannya tiba.
(z0 / katakan-01
    :ARG0 (z1 / orang
              :ARG0 (z2 / jaksa
                        :mod (z3 / penuntut)))
    :ARG1 (z4 / mencari-01
              :ARG0 (z5 / orang
                        :ARG0-of (z6 / memiliki-peran-rel-91
                                     :ARG2 (z7 / istri)))
              :ARG1 (z8 / rumah
                        :poss z5)
              :location (z9 / kota
                            :wiki ""Muenster""
                            :name (z10 / nama
                                       :op1 ""Muenster""))
              :time (z11 / tiba-01
                         :ARG1 (z12 / berita
                                    :topic (z13 / tewas-01
                                                :ARG1 (z14 / dia))))))"
"# ::id 555
# ::annotator indoamrbart-mbart-fted
# ::snt """"""Yang memungkinkan kita lakukan adalah memiliki crossover yang jauh lebih efisien, ditujukan untuk keluarga muda,"""" kata Mr. Cowger.""
(z0 / ujar-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Mr.""
                        :op2 ""Cowger""))
    :ARG1 (z3 / izin-01
              :ARG0 (z4 / kita)
              :ARG1 (z5 / ada-01
                        :ARG0 z4
                        :ARG1 (z6 / memiliki-01
                                  :ARG0 z4
                                  :ARG1-of (z7 / efisien-01
                                               :ARG1 (z8 / memiliki-derajat-91
                                                         :ARG2 (z9 / efisien-01
                                                                   :ARG1 (z10 / jauh)
                                                                   :ARG3 (z11 / lebih
                                                                              :quant (z12 / jauh)))))
                                  :ARG1 (z13 / ditujukan-01
                                             :ARG1 (z14 / keluarga
                                                        :mod (z15 / muda)))))))"
"# ::id 556
# ::annotator indoamrbart-mbart-fted
# ::snt Remaja itu dalam kondisi kritis di Sacred Heart Medical Center, kata polisi dalam rilis berita.
(z0 / liar-01
    :ARG0 (z1 / polisi)
    :ARG1 (z2 / berita)
    :location (z3 / fasilitas
                  :wiki ""SacredHeartMedicalCenter""
                  :name (z4 / nama
                            :op1 ""Sacred""
                            :op2 ""Heart""
                            :op3 ""Medical""
                            :op4 ""Center"")))"
"# ::id 557
# ::annotator indoamrbart-mbart-fted
# ::snt Uang dapat digunakan untuk peningkatan jalan, jalan tol, angkutan umum atau cara lain untuk meningkatkan mobilitas.
(z0 / mungkin-01
    :ARG1 (z1 / memanfaatkan-01
              :ARG1 (z2 / atau
                        :op1 (z3 / meningkat-01
                                 :ARG1 (z4 / jalan))
                        :op2 (z5 / naik-01
                                 :ARG1 (z6 / jalan
